mechanism,scenario,n_observations,n_malicious,expectation_met_count,expectation_met_rate_pct,false_acceptances,false_rejections,attack_rejection_rate_pct,mean_decision_latency_ms,p95_decision_latency_ms
blockchain,expired_challenge,30,30,30,100.0,0,0,100.0,0.0587,0.0836
blockchain,impersonation_wrong_key,30,30,30,100.0,0,0,100.0,40.6278,70.0605
blockchain,malformed,30,30,30,100.0,0,0,100.0,0.0139,0.0175
blockchain,modified_nonce,30,30,30,100.0,0,0,100.0,0.0269,0.0372
blockchain,modified_operation,30,30,30,100.0,0,0,100.0,57.1651,107.7274
blockchain,modified_uav_id,30,30,30,100.0,0,0,100.0,48.6837,99.2434
blockchain,replay,30,30,30,100.0,0,0,100.0,0.0512,0.0685
blockchain,revoked_uav,30,30,30,100.0,0,0,100.0,36.461,69.074
blockchain,rpc_unavailable,30,30,30,100.0,0,0,100.0,7010.7097,7081.4711
blockchain,unauthorised_operation,30,30,0,0.0,0,0,100.0,38.9053,66.1991
blockchain,unknown_uav,30,30,30,100.0,0,0,100.0,52.0148,82.6305
blockchain,valid_active,30,0,0,0.0,0,30,,37.2295,67.2319
x509,expired_certificate,30,30,30,100.0,0,0,100.0,0.27,0.6046
x509,expired_challenge,30,30,30,100.0,0,0,100.0,0.2561,0.0844
x509,impersonation_wrong_key,30,30,30,100.0,0,0,100.0,2.8062,3.9041
x509,malformed,30,30,30,100.0,0,0,100.0,0.0123,0.0136
x509,modified_nonce,30,30,30,100.0,0,0,100.0,0.0313,0.0487
x509,modified_operation,30,30,30,100.0,0,0,100.0,3.2522,5.3687
x509,modified_uav_id,30,30,30,100.0,0,0,100.0,5.3587,8.824
x509,replay,30,30,30,100.0,0,0,100.0,0.0608,0.1392
x509,revoked_uav,30,30,30,100.0,0,0,100.0,8.3896,39.1689
x509,unauthorised_operation,30,30,30,100.0,0,0,100.0,3.1702,4.6235
x509,unknown_uav,30,30,30,100.0,0,0,100.0,1.4646,0.5614
x509,untrusted_issuer,30,30,30,100.0,0,0,100.0,1.2691,2.1446
x509,valid_active,30,0,30,100.0,0,0,,4.0271,7.6515
