mechanism,n_identities,concurrency,run_id,n_observations,mean_request_bytes,mean_response_bytes,mean_contract_call_ms
blockchain,10,1,n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,60,239.07,17.0,0.0047
x509,10,1,n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020457Z,30,239.13,8.0,0.0
blockchain,10,5,n10-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020508Z,30,238.9,17.0,0.0051
x509,10,5,n10-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020505Z,30,239.17,8.0,0.0
blockchain,10,10,n10-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020515Z,30,239.17,17.0,0.0049
x509,10,10,n10-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020511Z,30,238.93,8.0,0.0
blockchain,10,25,n10-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020522Z,30,239.0,17.0,0.005
x509,10,25,n10-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020519Z,30,239.07,8.0,0.0
blockchain,10,50,n10-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020530Z,30,239.17,17.0,0.0056
x509,10,50,n10-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020525Z,30,238.97,8.0,0.0
blockchain,50,1,n50-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020643Z,30,239.0,17.0,0.0068
x509,50,1,n50-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020538Z,30,238.97,8.0,0.0
blockchain,50,5,n50-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020651Z,30,239.0,17.0,0.005
x509,50,5,n50-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020647Z,30,239.2,8.0,0.0
blockchain,50,10,n50-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020659Z,30,239.13,17.0,0.005
x509,50,10,n50-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020654Z,30,238.9,8.0,0.0
blockchain,50,25,n50-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020706Z,30,238.97,17.0,0.0051
x509,50,25,n50-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020702Z,30,238.93,8.0,0.0
blockchain,50,50,n50-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020715Z,30,238.93,17.0,0.0048
x509,50,50,n50-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020711Z,30,238.83,8.0,0.0
blockchain,100,1,n100-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020909Z,30,238.9,17.0,0.0047
x509,100,1,n100-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020723Z,30,238.9,8.0,0.0
blockchain,100,5,n100-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020920Z,30,238.87,17.0,0.0075
x509,100,5,n100-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020915Z,30,238.8,8.0,0.0
blockchain,100,10,n100-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020930Z,30,238.9,17.0,0.0041
x509,100,10,n100-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020926Z,30,239.13,8.0,0.0
blockchain,100,25,n100-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020939Z,30,238.93,17.0,0.0057
x509,100,25,n100-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020934Z,30,239.0,8.0,0.0
blockchain,100,50,n100-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020948Z,30,239.07,18.83,28.8166
x509,100,50,n100-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020944Z,30,238.8,8.0,0.0
blockchain,250,1,n250-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T021458Z,30,239.0,28.0,17.8287
x509,250,1,n250-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020953Z,30,239.1,8.0,0.0
blockchain,250,5,n250-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T021540Z,30,239.1,17.0,0.0045
x509,250,5,n250-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T021530Z,30,239.3,8.0,0.0
blockchain,250,10,n250-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T021557Z,30,238.93,17.0,0.0049
x509,250,10,n250-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T021548Z,30,238.9,8.0,0.0
blockchain,250,25,n250-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T021613Z,30,239.17,17.0,0.006
x509,250,25,n250-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T021606Z,30,239.03,8.0,0.0
blockchain,250,50,n250-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T021632Z,30,239.0,17.0,0.0052
x509,250,50,n250-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T021623Z,30,238.93,8.0,0.0
blockchain,500,1,n500-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T022510Z,30,239.07,17.0,0.0042
x509,500,1,n500-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T021640Z,30,239.0,8.0,0.0
blockchain,500,5,n500-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T022623Z,30,239.03,17.0,0.0048
x509,500,5,n500-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T022605Z,30,239.03,8.0,0.0
blockchain,500,10,n500-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T022652Z,30,238.73,17.0,0.0049
x509,500,10,n500-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T022637Z,30,239.17,8.0,0.0
blockchain,500,25,n500-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T022719Z,30,238.83,17.0,0.0047
x509,500,25,n500-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T022705Z,30,238.93,8.0,0.0
blockchain,500,50,n500-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T022747Z,30,239.1,17.0,0.0047
x509,500,50,n500-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T022732Z,30,239.07,8.0,0.0
