run_id,observation_id,utc_timestamp,mechanism,scenario,repetition,concurrency_level,uav_id,expected_outcome,observed_outcome,expectation_met,decision_latency_ns,decision_latency_ms,challenge_generation_ns,identity_lookup_ns,certificate_validation_ns,contract_call_ns,signature_verification_ns,authorisation_check_ns,audit_submission_ns,audit_confirmation_ns,tx_hash,block_number,gas_used,timeout_error_class,worker_id,payload_size,warmup,request_bytes,response_bytes,notes
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,obs_89c1a45b1533449ab88ccde714d30f1c,2026-08-20T02:05:02.429123+00:00,blockchain,valid_active,0,1,UAV-VALID,ACCEPTED,INVALID_SIGNATURE,False,66326900,66.3269,54100,65842500,0,4900,279600,0,0,0,,,,none,blockchain-valid_active_0,0,True,239,17,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,obs_6611f6606e5d4678962e9d072829e6f8,2026-08-20T02:05:02.484918+00:00,blockchain,valid_active,1,1,UAV-VALID,ACCEPTED,INVALID_SIGNATURE,False,50438700,50.4387,55400,49935700,0,4500,319700,0,0,0,,,,none,blockchain-valid_active_0,0,True,238,17,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,obs_5c6fd4d8314841128763f3655c49c9ac,2026-08-20T02:05:02.560661+00:00,blockchain,valid_active,0,1,UAV-VALID,ACCEPTED,INVALID_SIGNATURE,False,69180900,69.1809,62600,68723000,0,4300,256700,0,0,0,,,,none,blockchain-valid_active_0,0,False,239,17,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,obs_90befd2e27844b74b0e7a248b81bb9d8,2026-08-20T02:05:02.608481+00:00,blockchain,valid_active,1,1,UAV-VALID,ACCEPTED,INVALID_SIGNATURE,False,45180100,45.1801,56800,44743600,0,3500,276100,0,0,0,,,,none,blockchain-valid_active_0,0,False,238,17,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,obs_e838fac21ec34d39a9e15b2cd1cf7174,2026-08-20T02:05:02.716660+00:00,blockchain,valid_active,2,1,UAV-VALID,ACCEPTED,INVALID_SIGNATURE,False,106108700,106.1087,48400,105693400,0,4100,262400,0,0,0,,,,none,blockchain-valid_active_0,0,False,239,17,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,obs_c571c6e2257d489f824221f5f1686056,2026-08-20T02:05:02.841641+00:00,blockchain,valid_active,3,1,UAV-VALID,ACCEPTED,INVALID_SIGNATURE,False,118390700,118.3907,66300,117780500,0,12500,307700,0,0,0,,,,none,blockchain-valid_active_0,0,False,240,17,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,obs_8bed5719b29a4925bf6a27757f5e93b6,2026-08-20T02:05:03.015290+00:00,blockchain,valid_active,4,1,UAV-VALID,ACCEPTED,INVALID_SIGNATURE,False,171165700,171.1657,54000,170742000,0,3800,267600,0,0,0,,,,none,blockchain-valid_active_0,0,False,240,17,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,obs_b7d0281565444ad9a579e9c4c701994d,2026-08-20T02:05:03.089014+00:00,blockchain,valid_active,5,1,UAV-VALID,ACCEPTED,INVALID_SIGNATURE,False,71669100,71.6691,53200,64913400,0,4500,6416600,0,0,0,,,,none,blockchain-valid_active_0,0,False,240,17,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,obs_62825a5aa6bf48859f797b0d77fe8cc9,2026-08-20T02:05:03.132912+00:00,blockchain,valid_active,6,1,UAV-VALID,ACCEPTED,INVALID_SIGNATURE,False,41716600,41.7166,55700,41236700,0,4500,282400,0,0,0,,,,none,blockchain-valid_active_0,0,False,239,17,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,obs_87de7807d457444e96428197e274c880,2026-08-20T02:05:03.196872+00:00,blockchain,valid_active,7,1,UAV-VALID,ACCEPTED,INVALID_SIGNATURE,False,59549400,59.5494,68300,59118200,0,4500,275900,0,0,0,,,,none,blockchain-valid_active_0,0,False,239,17,
