run_id,mechanism,n_identities,concurrency,mean_cpu_percent,max_cpu_percent,mean_rss_mb,max_rss_mb
n10-identities_c1-conc_mech-blockchain-1backend_security-battery_r30_audit-off_20260820T020051Z,blockchain,10,1,4.5,69.6,202.1,207.48
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020501Z,blockchain,10,1,36.67,45.4,215.4,215.48
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-on_20260820T022802Z,blockchain,10,1,4.69,27.0,213.83,213.83
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260820T020036Z,x509,10,1,45.07,109.5,196.87,197.08
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020457Z,x509,10,1,48.5,64.6,208.75,208.76
n10-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020508Z,blockchain,10,5,44.1,88.2,217.27,217.49
n10-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020505Z,x509,10,5,53.05,60.7,211.69,211.71
n10-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020515Z,blockchain,10,10,83.2,94.5,218.29,218.69
n10-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020511Z,x509,10,10,24.3,48.6,223.17,223.4
n10-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020522Z,blockchain,10,25,64.65,87.1,220.45,221.17
n10-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020519Z,x509,10,25,54.6,54.6,223.8,223.8
n10-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020530Z,blockchain,10,50,36.88,73.4,224.49,231.37
n10-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020525Z,x509,10,50,22.4,32.5,225.75,225.83
n50-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020643Z,blockchain,50,1,32.43,57.9,232.05,232.13
n50-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020538Z,x509,50,1,31.3,31.3,226.46,226.46
n50-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020651Z,blockchain,50,5,92.0,138.0,232.79,233.06
n50-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020647Z,x509,50,5,0.0,0.0,226.92,226.92
n50-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260820T020659Z,blockchain,50,10,43.45,69.2,217.88,218.25
n50-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260820T020654Z,x509,50,10,0.0,0.0,225.54,225.54
