run_id,latency_set,n_submitted,n_warmup_excluded,n_measured,n_accepted,n_expected_rejection,n_unexpected,n_timeout,n_internal_error,failure_rate_pct,attack_rejection_rate_pct,false_acceptances,false_rejections,completed_throughput_rps,offered_load_rps,n,filter_rule,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms,p99_ms,ci95_low_ms,ci95_high_ms,ci_method,n_identities,concurrency,mechanism,scenario,audit_tx
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,all_finished,416,26,390,30,360,0,0,0,0.0,100.0,0,0,46.26454434197069,49.34884729810207,390,warmup==false; include all finished decisions,1.2450420512820513,0.80175,1.866394849287164,0.0078,23.1929,3.0760299999999963,6.209596000000023,1.0720476538461536,1.4439871794871797,scipy.stats.bootstrap percentile 10000 resamples 95%,10,1,x509,security_battery,False
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,accepted_only,416,26,390,30,360,0,0,0,0.0,100.0,0,0,46.26454434197069,49.34884729810207,30,warmup==false AND observed_outcome==ACCEPTED,2.046483333333333,2.0119,0.3318226760384729,1.5162,2.9945,2.639414999999999,2.927191,1.93488925,2.1689731666666665,scipy.stats.bootstrap percentile 10000 resamples 95%,10,1,x509,security_battery,False
n10-identities_c1-conc_mech-blockchain-1backend_security-battery_r30_audit-off_20260824T233645Z,all_finished,384,24,360,30,330,0,0,0,0.0,100.0,0,0,1.518874494524231,1.6201327941591797,360,warmup==false; include all finished decisions,593.8264525000001,19.27475,1917.7646036782608,0.0087,7048.1319,6929.999075,6976.8335720000005,401.7517289652777,804.5704404097222,scipy.stats.bootstrap percentile 10000 resamples 95%,10,1,blockchain,security_battery,False
n10-identities_c1-conc_mech-blockchain-1backend_security-battery_r30_audit-off_20260824T233645Z,accepted_only,384,24,360,30,330,0,0,0,0.0,100.0,0,0,1.518874494524231,1.6201327941591797,30,warmup==false AND observed_outcome==ACCEPTED,27.66623,22.70855,15.187273228121652,15.1653,94.0441,46.91642499999999,80.86716700000004,23.10663116666667,33.63569283333333,scipy.stats.bootstrap percentile 10000 resamples 95%,10,1,blockchain,security_battery,False
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,all_finished,32,2,30,30,0,0,0,0,0.0,,0,0,28.56475530027948,30.46907232029811,30,warmup==false; include all finished decisions,4.977786666666668,4.4911,1.516727844278332,3.0196,8.8391,7.790185,8.543880000000001,4.463770916666666,5.536762166666668,scipy.stats.bootstrap percentile 10000 resamples 95%,10,1,x509,valid_active,False
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,accepted_only,32,2,30,30,0,0,0,0,0.0,,0,0,28.56475530027948,30.46907232029811,30,warmup==false AND observed_outcome==ACCEPTED,4.977786666666668,4.4911,1.516727844278332,3.0196,8.8391,7.790185,8.543880000000001,4.463770916666666,5.536762166666668,scipy.stats.bootstrap percentile 10000 resamples 95%,10,1,x509,valid_active,False
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234119Z,all_finished,32,2,30,30,0,0,0,0,0.0,,0,0,8.401041527513678,8.961110962681257,30,warmup==false; include all finished decisions,63.52966000000001,48.0301,55.24664983958443,32.2567,329.3749,124.33260499999987,275.4451950000002,48.518670333333326,86.48053525,scipy.stats.bootstrap percentile 10000 resamples 95%,10,1,blockchain,valid_active,False
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234119Z,accepted_only,32,2,30,30,0,0,0,0,0.0,,0,0,8.401041527513678,8.961110962681257,30,warmup==false AND observed_outcome==ACCEPTED,63.52966000000001,48.0301,55.24664983958443,32.2567,329.3749,124.33260499999987,275.4451950000002,48.518670333333326,86.48053525,scipy.stats.bootstrap percentile 10000 resamples 95%,10,1,blockchain,valid_active,False
n10-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234403Z,all_finished,32,2,30,30,0,0,0,0,0.0,,0,0,59.672635920532805,63.65081164856833,30,warmup==false; include all finished decisions,11.886616666666663,11.7784,4.334436647886347,5.9723,21.9914,19.90571499999999,21.880272,10.386799,13.460212583333332,scipy.stats.bootstrap percentile 10000 resamples 95%,10,5,x509,valid_active,False
n10-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234403Z,accepted_only,32,2,30,30,0,0,0,0,0.0,,0,0,59.672635920532805,63.65081164856833,30,warmup==false AND observed_outcome==ACCEPTED,11.886616666666663,11.7784,4.334436647886347,5.9723,21.9914,19.90571499999999,21.880272,10.386799,13.460212583333332,scipy.stats.bootstrap percentile 10000 resamples 95%,10,5,x509,valid_active,False
