mechanism,scenario,n_observations,n_malicious,expectation_met_count,expectation_met_rate_pct,false_acceptances,false_rejections,attack_rejection_rate_pct,mean_decision_latency_ms,p95_decision_latency_ms
blockchain,expired_challenge,30,30,30,100.0,0,0,100.0,0.0638,0.1967
blockchain,impersonation_wrong_key,30,30,30,100.0,0,0,100.0,28.9896,50.6794
blockchain,malformed,30,30,30,100.0,0,0,100.0,0.0575,0.0161
blockchain,modified_nonce,30,30,30,100.0,0,0,100.0,0.0256,0.0283
blockchain,modified_operation,30,30,30,100.0,0,0,100.0,23.9408,29.4136
blockchain,modified_uav_id,30,30,30,100.0,0,0,100.0,29.8401,46.2321
blockchain,replay,30,30,30,100.0,0,0,100.0,0.0422,0.0633
blockchain,revoked_uav,30,30,30,100.0,0,0,100.0,20.1947,31.9472
blockchain,rpc_unavailable,30,30,30,100.0,0,0,100.0,6945.2338,6988.535
blockchain,unauthorised_operation,30,30,30,100.0,0,0,100.0,26.8612,48.6836
blockchain,unknown_uav,30,30,30,100.0,0,0,100.0,23.0019,36.268
blockchain,valid_active,30,0,30,100.0,0,0,,27.6662,46.9164
x509,expired_certificate,30,30,30,100.0,0,0,100.0,0.1556,0.2675
x509,expired_challenge,30,30,30,100.0,0,0,100.0,0.0343,0.0508
x509,impersonation_wrong_key,30,30,30,100.0,0,0,100.0,3.1282,7.9957
x509,malformed,30,30,30,100.0,0,0,100.0,0.0117,0.0149
x509,modified_nonce,30,30,30,100.0,0,0,100.0,0.0273,0.0526
x509,modified_operation,30,30,30,100.0,0,0,100.0,2.7277,3.4612
x509,modified_uav_id,30,30,30,100.0,0,0,100.0,3.0308,5.3674
x509,replay,30,30,30,100.0,0,0,100.0,0.0551,0.1377
x509,revoked_uav,30,30,30,100.0,0,0,100.0,1.8465,2.4736
x509,unauthorised_operation,30,30,30,100.0,0,0,100.0,2.0664,3.0189
x509,unknown_uav,30,30,30,100.0,0,0,100.0,0.2101,0.3534
x509,untrusted_issuer,30,30,30,100.0,0,0,100.0,0.8453,1.236
x509,valid_active,30,0,30,100.0,0,0,,2.0465,2.6394
