run_id,observation_id,utc_timestamp,mechanism,scenario,repetition,concurrency_level,uav_id,expected_outcome,observed_outcome,expectation_met,decision_latency_ns,decision_latency_ms,challenge_generation_ns,identity_lookup_ns,certificate_validation_ns,contract_call_ns,signature_verification_ns,authorisation_check_ns,audit_submission_ns,audit_confirmation_ns,tx_hash,block_number,gas_used,timeout_error_class,worker_id,payload_size,warmup,request_bytes,response_bytes,notes
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_d0770a2c4e984f6792d86088a8f3e5c5,2026-08-24T23:36:36.233724+00:00,x509,valid_active,0,1,UAV-VALID,ACCEPTED,ACCEPTED,True,11873800,11.8738,56200,3821300,7620400,0,209300,9400,0,0,,,,none,x509-valid_active_0,0,True,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_ea5223ac1cef4353810c2e2f8a9f45b1,2026-08-24T23:36:36.242406+00:00,x509,valid_active,1,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1713100,1.7131,47300,90400,1331200,0,167800,5900,0,0,,,,none,x509-valid_active_0,0,True,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_10de68b5644f44c98063b72ee13f1c29,2026-08-24T23:36:36.251967+00:00,x509,valid_active,0,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1944400,1.9444,50600,93700,1536900,0,189300,5800,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_16d21165798342e29f82236b5ee01aaf,2026-08-24T23:36:36.261142+00:00,x509,valid_active,1,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1789800,1.7898,55800,92000,1402400,0,166600,5500,0,0,,,,none,x509-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_80dbe426c6ae48b8836df5619cff0206,2026-08-24T23:36:36.270151+00:00,x509,valid_active,2,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2413600,2.4136,56200,127600,1950700,0,187100,7400,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_7a23dd933b4e4f8c8bded30e3365bbc9,2026-08-24T23:36:36.279545+00:00,x509,valid_active,3,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1988200,1.9882,52300,90800,1578200,0,197500,5000,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_6f8e2765ed2b427aae1f648d7cf9fa83,2026-08-24T23:36:36.288668+00:00,x509,valid_active,4,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1944400,1.9444,50600,109000,1511600,0,200100,5600,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_4a670febeb2245fe81b8fd5e5ff3ba73,2026-08-24T23:36:36.297267+00:00,x509,valid_active,5,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1516200,1.5162,51000,70300,1160000,0,178300,4800,0,0,,,,none,x509-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_ad1e0195d46144bc8de47961c11b5862,2026-08-24T23:36:36.306074+00:00,x509,valid_active,6,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2118600,2.1186,50700,88700,1698000,0,195600,6900,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_524eb7f7396a4d6abd577f2d0dc597cb,2026-08-24T23:36:36.315816+00:00,x509,valid_active,7,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2994500,2.9945,50300,88100,2304400,0,274200,9200,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_6dd17d543ef9418fa742a2411affdd83,2026-08-24T23:36:36.324730+00:00,x509,valid_active,8,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1754000,1.754,46800,88600,1401700,0,157800,5100,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_953b5bd5833740fbbbac4e043bcf55a5,2026-08-24T23:36:36.332986+00:00,x509,valid_active,9,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2053000,2.053,40900,81500,1639100,0,201600,5400,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_ea6175bac9334a30ac9782eee5d4fab9,2026-08-24T23:36:36.341696+00:00,x509,valid_active,10,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1788000,1.788,43600,68500,1466300,0,157900,5000,0,0,,,,none,x509-valid_active_0,0,False,239,8,
