mechanism,n_identities,concurrency,run_id,n_observations,mean_request_bytes,mean_response_bytes,mean_contract_call_ms
blockchain,10,1,n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234119Z,60,239.0,8.0,0.0098
x509,10,1,n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,30,239.1,8.0,0.0
blockchain,10,5,n10-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234405Z,30,239.0,8.0,0.0052
x509,10,5,n10-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234403Z,30,238.83,8.0,0.0
blockchain,10,10,n10-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234423Z,30,238.93,8.0,0.0059
x509,10,10,n10-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234422Z,30,238.87,8.0,0.0
blockchain,10,25,n10-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234428Z,30,239.03,8.0,0.0061
x509,10,25,n10-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234426Z,30,239.03,8.0,0.0
blockchain,10,50,n10-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234433Z,30,238.87,8.0,0.011
x509,10,50,n10-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234430Z,30,238.97,8.0,0.0
blockchain,50,1,n50-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234437Z,30,238.77,8.0,0.005
x509,50,1,n50-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234435Z,30,239.17,8.0,0.0
blockchain,50,5,n50-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234441Z,30,239.03,8.0,0.0052
x509,50,5,n50-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234439Z,30,238.83,8.0,0.0
blockchain,50,10,n50-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234445Z,30,239.07,8.0,0.0062
x509,50,10,n50-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234443Z,30,239.03,8.0,0.0
blockchain,50,25,n50-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234855Z,30,239.1,8.0,0.0058
x509,50,25,n50-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234447Z,30,239.2,8.0,0.0
blockchain,50,50,n50-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234453Z,30,238.87,8.0,0.007
x509,50,50,n50-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234452Z,30,239.17,8.0,0.0
blockchain,100,1,n100-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234458Z,30,238.83,8.0,0.0047
x509,100,1,n100-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234456Z,30,239.17,8.0,0.0
blockchain,100,5,n100-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234503Z,30,239.03,8.0,0.005
x509,100,5,n100-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234501Z,30,238.97,8.0,0.0
blockchain,100,10,n100-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234507Z,30,238.8,8.0,0.006
x509,100,10,n100-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234505Z,30,238.97,8.0,0.0
blockchain,100,25,n100-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234513Z,30,239.0,8.0,0.0054
x509,100,25,n100-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234510Z,30,239.03,8.0,0.0
blockchain,100,50,n100-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234900Z,30,239.1,8.0,0.0051
x509,100,50,n100-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234516Z,30,238.87,8.0,0.0
blockchain,250,1,n250-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234524Z,30,238.93,8.0,0.0057
x509,250,1,n250-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234521Z,30,238.93,8.0,0.0
blockchain,250,5,n250-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234529Z,30,239.23,8.0,0.0079
x509,250,5,n250-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234527Z,30,239.13,8.0,0.0
blockchain,250,10,n250-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234535Z,30,238.7,8.0,0.0087
x509,250,10,n250-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234533Z,30,238.8,8.0,0.0
blockchain,250,25,n250-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234541Z,30,238.97,8.0,0.0068
x509,250,25,n250-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234538Z,30,238.93,8.0,0.0
blockchain,250,50,n250-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T235055Z,30,239.2,8.0,0.0061
x509,250,50,n250-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234545Z,30,239.0,8.0,0.0
blockchain,500,1,n500-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T235102Z,30,239.13,8.0,0.0052
x509,500,1,n500-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234555Z,30,238.87,8.0,0.0
blockchain,500,5,n500-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234604Z,30,239.1,8.0,0.0069
x509,500,5,n500-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234601Z,30,239.17,8.0,0.0
blockchain,500,10,n500-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234612Z,30,238.97,8.0,0.007
x509,500,10,n500-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234608Z,30,239.0,8.0,0.0
blockchain,500,25,n500-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234621Z,30,238.9,8.0,0.0427
x509,500,25,n500-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234617Z,30,238.97,8.0,0.0
blockchain,500,50,n500-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234631Z,30,239.2,8.0,0.008
x509,500,50,n500-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234627Z,30,239.1,8.0,0.0
