run_id,mechanism,n_identities,concurrency,mean_cpu_percent,max_cpu_percent,mean_rss_mb,max_rss_mb
n10-identities_c1-conc_mech-blockchain-1backend_security-battery_r30_audit-off_20260824T233645Z,blockchain,10,1,4.77,96.7,206.64,206.68
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234119Z,blockchain,10,1,42.68,60.6,211.53,220.35
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-on_20260824T234640Z,blockchain,10,1,8.13,33.9,227.26,227.26
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,x509,10,1,60.24,139.3,198.26,198.48
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,x509,10,1,47.45,94.9,213.66,213.8
n10-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234405Z,blockchain,10,5,80.2,86.5,208.86,209.0
n10-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234403Z,x509,10,5,53.1,53.1,194.77,194.77
n10-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234423Z,blockchain,10,10,52.65,105.3,213.35,215.01
n10-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234422Z,x509,10,10,0.0,0.0,214.29,214.29
n10-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234428Z,blockchain,10,25,87.5,97.3,213.84,214.96
n10-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234426Z,x509,10,25,0.0,0.0,216.28,216.28
n10-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234433Z,blockchain,10,50,45.45,90.9,214.81,215.36
n10-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234430Z,x509,10,50,71.75,93.5,218.71,219.05
n50-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234437Z,blockchain,50,1,38.15,76.3,214.45,214.49
n50-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234435Z,x509,50,1,66.4,66.4,216.89,216.89
n50-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234441Z,blockchain,50,5,52.6,105.2,220.69,221.17
n50-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234439Z,x509,50,5,0.0,0.0,219.8,219.8
n50-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234445Z,blockchain,50,10,92.75,118.7,218.76,220.99
n50-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234443Z,x509,50,10,60.2,60.2,221.02,221.02
n50-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234855Z,blockchain,50,25,62.25,124.5,199.64,204.53
n50-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234447Z,x509,50,25,0.0,0.0,215.79,215.79
n50-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234453Z,blockchain,50,50,74.13,122.1,226.82,231.95
