mechanism,scenario,n_observations,n_malicious,expectation_met_count,expectation_met_rate_pct,false_acceptances,false_rejections,attack_rejection_rate_pct,mean_decision_latency_ms,p95_decision_latency_ms
blockchain,expired_challenge,30,30,30,100.0,0,0,100.0,0.0619,0.2232
blockchain,impersonation_wrong_key,30,30,30,100.0,0,0,100.0,16.28,18.8486
blockchain,malformed,30,30,30,100.0,0,0,100.0,0.0107,0.0171
blockchain,modified_nonce,30,30,30,100.0,0,0,100.0,0.0182,0.024
blockchain,modified_operation,30,30,30,100.0,0,0,100.0,18.376,26.5158
blockchain,modified_uav_id,30,30,30,100.0,0,0,100.0,19.8974,35.9687
blockchain,replay,30,30,30,100.0,0,0,100.0,0.0354,0.0601
blockchain,revoked_uav,30,30,30,100.0,0,0,100.0,18.1465,25.2189
blockchain,rpc_unavailable,30,30,30,100.0,0,0,100.0,69243.7483,69298.4172
blockchain,unauthorised_operation,30,30,30,100.0,0,0,100.0,18.3199,27.503
blockchain,unknown_uav,30,30,30,100.0,0,0,100.0,20.4847,31.5019
blockchain,valid_active,30,0,30,100.0,0,0,,27.5639,59.9383
x509,expired_certificate,30,30,30,100.0,0,0,100.0,0.17,0.2978
x509,expired_challenge,30,30,30,100.0,0,0,100.0,0.0332,0.0453
x509,impersonation_wrong_key,30,30,30,100.0,0,0,100.0,2.1359,3.2292
x509,malformed,30,30,30,100.0,0,0,100.0,0.014,0.0182
x509,modified_nonce,30,30,30,100.0,0,0,100.0,0.022,0.028
x509,modified_operation,30,30,30,100.0,0,0,100.0,2.3226,3.7125
x509,modified_uav_id,30,30,30,100.0,0,0,100.0,2.9154,4.7676
x509,replay,30,30,30,100.0,0,0,100.0,0.0329,0.0448
x509,revoked_uav,30,30,30,100.0,0,0,100.0,2.2494,3.9183
x509,unauthorised_operation,30,30,30,100.0,0,0,100.0,2.0387,3.5967
x509,unknown_uav,30,30,30,100.0,0,0,100.0,0.2485,0.4025
x509,untrusted_issuer,30,30,30,100.0,0,0,100.0,1.0526,2.0564
x509,valid_active,30,0,30,100.0,0,0,,2.1546,2.8232
