mechanism,n_identities,concurrency,run_id,n_observations,mean_request_bytes,mean_response_bytes,mean_contract_call_ms
blockchain,10,1,n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,60,239.08,8.0,0.003
x509,10,1,n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,30,238.87,8.0,0.0
blockchain,10,5,n10-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025104Z,30,239.0,8.0,0.0033
x509,10,5,n10-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025103Z,30,238.9,8.0,0.0
blockchain,10,10,n10-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025107Z,30,238.93,8.0,0.0031
x509,10,10,n10-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025106Z,30,238.97,8.0,0.0
blockchain,10,25,n10-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025109Z,30,238.83,8.0,0.0029
x509,10,25,n10-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025108Z,30,238.9,8.0,0.0
blockchain,10,50,n10-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025112Z,30,238.67,8.0,0.0076
x509,10,50,n10-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025111Z,30,238.87,8.0,0.0
blockchain,50,1,n50-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T033155Z,30,238.9,8.0,0.0036
x509,50,1,n50-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025114Z,30,239.13,8.0,0.0
blockchain,50,5,n50-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025842Z,30,239.0,8.0,0.0049
x509,50,5,n50-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025841Z,30,239.03,8.0,0.0
blockchain,50,10,n50-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025846Z,30,239.0,8.0,0.0034
x509,50,10,n50-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025844Z,30,238.83,8.0,0.0
blockchain,50,25,n50-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025849Z,30,239.03,8.0,0.0051
x509,50,25,n50-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025848Z,30,238.9,8.0,0.0
blockchain,50,50,n50-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025853Z,30,238.97,8.0,0.0052
x509,50,50,n50-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025851Z,30,238.87,8.0,0.0
blockchain,100,1,n100-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025855Z,30,238.93,8.0,0.0035
x509,100,1,n100-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025854Z,30,239.23,8.0,0.0
blockchain,100,5,n100-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T033213Z,30,238.97,8.0,0.0035
x509,100,5,n100-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025857Z,30,239.1,8.0,0.0
blockchain,100,10,n100-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030038Z,30,238.97,8.0,0.0039
x509,100,10,n100-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030036Z,30,238.57,8.0,0.0
blockchain,100,25,n100-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030040Z,30,239.17,8.0,0.0031
x509,100,25,n100-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030039Z,30,239.07,8.0,0.0
blockchain,100,50,n100-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030043Z,30,239.07,8.0,0.0031
x509,100,50,n100-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030042Z,30,239.07,8.0,0.0
blockchain,250,1,n250-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030046Z,30,239.13,8.0,0.0028
x509,250,1,n250-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030045Z,30,238.93,8.0,0.0
blockchain,250,5,n250-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030049Z,30,239.03,8.0,0.0031
x509,250,5,n250-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030048Z,30,239.03,8.0,0.0
blockchain,250,10,n250-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030051Z,30,238.77,8.0,0.003
x509,250,10,n250-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030050Z,30,239.1,8.0,0.0
blockchain,250,25,n250-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030058Z,30,239.33,8.0,0.0039
x509,250,25,n250-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030057Z,30,238.97,8.0,0.0
blockchain,250,50,n250-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030101Z,30,239.13,8.0,0.0032
x509,250,50,n250-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030100Z,30,239.03,8.0,0.0
blockchain,500,1,n500-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030104Z,30,238.77,8.0,0.0034
x509,500,1,n500-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030103Z,30,238.7,8.0,0.0
