run_id,observation_id,utc_timestamp,mechanism,scenario,repetition,concurrency_level,uav_id,expected_outcome,observed_outcome,expectation_met,decision_latency_ns,decision_latency_ms,challenge_generation_ns,identity_lookup_ns,certificate_validation_ns,contract_call_ns,signature_verification_ns,authorisation_check_ns,audit_submission_ns,audit_confirmation_ns,tx_hash,block_number,gas_used,timeout_error_class,worker_id,payload_size,warmup,request_bytes,response_bytes,notes
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_20748f3c1625445ab068aecf62592ade,2026-08-31T02:51:00.542532+00:00,x509,valid_active,0,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2290500,2.2905,50800,157100,1837200,0,181000,5500,0,0,,,,none,x509-valid_active_0,0,True,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_7ee57f1bf0964367851db6c82d21bb9d,2026-08-31T02:51:00.551884+00:00,x509,valid_active,1,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1735500,1.7355,52800,87300,1379400,0,157300,4300,0,0,,,,none,x509-valid_active_0,0,True,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_a4e16d3f478d46b8a77d2e888b805683,2026-08-31T02:51:00.563536+00:00,x509,valid_active,0,1,UAV-VALID,ACCEPTED,ACCEPTED,True,4450100,4.4501,41300,103600,4020300,0,197000,6300,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_cda160427e874975a22b233ef1b4aabb,2026-08-31T02:51:00.574013+00:00,x509,valid_active,1,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1824300,1.8243,36300,65800,1422300,0,211500,6900,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_50c611ea57ea424ba97a6419c8e6e76d,2026-08-31T02:51:00.582969+00:00,x509,valid_active,2,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1848400,1.8484,34300,131100,1478800,0,152700,5500,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_21bfecf4d79b4076847744cd3cb7c287,2026-08-31T02:51:00.588846+00:00,x509,valid_active,3,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1267300,1.2673,34600,60500,977100,0,150100,4400,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_d662b83dac274030ba73ca9a812cf8a6,2026-08-31T02:51:00.598020+00:00,x509,valid_active,4,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1461600,1.4616,37300,62000,1200400,0,125700,3800,0,0,,,,none,x509-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_60da8a4386974cd09de392c81bb82855,2026-08-31T02:51:00.605143+00:00,x509,valid_active,5,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1913200,1.9132,34600,60000,1600400,0,157600,4200,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_68c881bb5c914276b6acd55a052f0559,2026-08-31T02:51:00.614297+00:00,x509,valid_active,6,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2137300,2.1373,41800,83300,1786500,0,167200,4900,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_432a4d7ed8cd4f36812b31983bf921a0,2026-08-31T02:51:00.623618+00:00,x509,valid_active,7,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2590200,2.5902,46300,83700,2232900,0,163300,6800,0,0,,,,none,x509-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_cbf697430aff420bbf8d35b430717456,2026-08-31T02:51:00.631113+00:00,x509,valid_active,8,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1880400,1.8804,50800,92200,1560600,0,134100,4500,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_bf963f51a1cc4b1192d2da7b2963ad47,2026-08-31T02:51:00.641260+00:00,x509,valid_active,9,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2248900,2.2489,49000,114900,1721200,0,180500,4500,0,0,,,,none,x509-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_170851f6f1ca406d8c6c978f70201e8a,2026-08-31T02:51:00.648784+00:00,x509,valid_active,10,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1804400,1.8044,62000,66300,1504500,0,141500,3400,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_dfb192ba250e4481bfd123932b496956,2026-08-31T02:51:00.655901+00:00,x509,valid_active,11,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2496300,2.4963,31400,80200,2172800,0,151700,3600,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_3519f01dfa9e47aba6354acd9a33be6b,2026-08-31T02:51:00.663634+00:00,x509,valid_active,12,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1336000,1.336,48700,66500,1064200,0,128400,3100,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_9e28833045014b649443299ca751b719,2026-08-31T02:51:00.671903+00:00,x509,valid_active,13,1,UAV-VALID,ACCEPTED,ACCEPTED,True,3393300,3.3933,54700,66700,3074500,0,147000,4400,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_30ad62e3ed714917ae21a4f4ad49f436,2026-08-31T02:51:00.679399+00:00,x509,valid_active,14,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1753600,1.7536,51200,94200,1431900,0,131800,3500,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_8eed8adc4b4b4e4fb15360cd8a3ccafa,2026-08-31T02:51:00.688271+00:00,x509,valid_active,15,1,UAV-VALID,ACCEPTED,ACCEPTED,True,3458000,3.458,46700,80400,3065600,0,195700,5800,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_d17ecb29c7c5494fad540e57b9e38c7e,2026-08-31T02:51:00.694260+00:00,x509,valid_active,16,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1257800,1.2578,35300,68700,985600,0,128000,3300,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_4af343d5ab6c4a1d966075c6899afb0f,2026-08-31T02:51:00.701802+00:00,x509,valid_active,17,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2384300,2.3843,49000,87400,1929500,0,209600,6100,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_3349f178043c4f4d8c4fd01fd0602345,2026-08-31T02:51:00.709325+00:00,x509,valid_active,18,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1407200,1.4072,59900,71200,1117700,0,129300,3500,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_f819b2d01f814a62b2a2e60b08c080d9,2026-08-31T02:51:00.714794+00:00,x509,valid_active,19,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1182000,1.182,28300,51200,887500,0,173600,5000,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_d0a73287c7e446fc9bd3feff38541317,2026-08-31T02:51:00.722590+00:00,x509,valid_active,20,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1419300,1.4193,31100,57300,1131200,0,157400,3600,0,0,,,,none,x509-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_267539de7a8f4c8badf7e3ce10b53f5b,2026-08-31T02:51:00.728517+00:00,x509,valid_active,21,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1507400,1.5074,26000,61000,1203400,0,150300,6700,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_12e314844ee6468e981a80127ee32eb2,2026-08-31T02:51:00.736286+00:00,x509,valid_active,22,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1770400,1.7704,48600,63400,1404400,0,192300,5300,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_52ac1b02c35246999399b60079af28b3,2026-08-31T02:51:00.743057+00:00,x509,valid_active,23,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1369000,1.369,38100,67200,1090800,0,128800,3300,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_71d46f52622549e393066ce00c660a5d,2026-08-31T02:51:00.750668+00:00,x509,valid_active,24,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2670300,2.6703,37300,485600,1778000,0,169500,6000,0,0,,,,none,x509-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_a9fd711c42c041999e03804068a30292,2026-08-31T02:51:00.757537+00:00,x509,valid_active,25,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1774000,1.774,31400,59100,1455000,0,160200,6200,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_7a1a25adb3fa49b0b6b3abfe75d77429,2026-08-31T02:51:00.767281+00:00,x509,valid_active,26,1,UAV-VALID,ACCEPTED,ACCEPTED,True,4188000,4.188,49600,192300,3666500,0,201400,4900,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_ba867d63bdfd41938f9eb71fc0fb9b7b,2026-08-31T02:51:00.776259+00:00,x509,valid_active,27,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1856800,1.8568,39400,62500,1506000,0,183800,5300,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_54196fd31b7641db88795523cc1c0040,2026-08-31T02:51:00.786947+00:00,x509,valid_active,28,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1875900,1.8759,53800,85900,1500800,0,181100,5100,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,obs_3c5a880f534b48f39c7071d58fa3b812,2026-08-31T02:51:00.798630+00:00,x509,valid_active,29,1,UAV-VALID,ACCEPTED,ACCEPTED,True,3280400,3.2804,404600,97300,2834000,0,214800,6100,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_f91e4ae863f74103b70019d40716c3a2,2026-08-31T02:51:01.836167+00:00,blockchain,valid_active,0,1,UAV-VALID,ACCEPTED,ACCEPTED,True,37639900,37.6399,48100,37386200,0,2300,152100,3100,0,0,,,,none,blockchain-valid_active_0,0,True,239,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_31fc5713137849f3a0bc27f4d695cfbb,2026-08-31T02:51:01.858797+00:00,blockchain,valid_active,1,1,UAV-VALID,ACCEPTED,ACCEPTED,True,18030300,18.0303,32000,17762900,0,2600,161100,4200,0,0,,,,none,blockchain-valid_active_0,0,True,239,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_88efe2f41c6b4b709d2b800d6d297865,2026-08-31T02:51:01.875706+00:00,blockchain,valid_active,0,1,UAV-VALID,ACCEPTED,ACCEPTED,True,12595600,12.5956,31200,12348200,0,2600,158300,4100,0,0,,,,none,blockchain-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_d9a03e22febe4896b72084ea2f7d8fe0,2026-08-31T02:51:01.892283+00:00,blockchain,valid_active,1,1,UAV-VALID,ACCEPTED,ACCEPTED,True,12319800,12.3198,32100,12075400,0,2400,153800,3800,0,0,,,,none,blockchain-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_c111553b19224e8eb3fbe350415d0417,2026-08-31T02:51:01.908297+00:00,blockchain,valid_active,2,1,UAV-VALID,ACCEPTED,ACCEPTED,True,11881000,11.881,32900,11638000,0,2300,157300,3500,0,0,,,,none,blockchain-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_e0ebb156bb9741c8afda61a98aa9120f,2026-08-31T02:51:01.923929+00:00,blockchain,valid_active,3,1,UAV-VALID,ACCEPTED,ACCEPTED,True,11538200,11.5382,27400,11302500,0,2100,152600,3900,0,0,,,,none,blockchain-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_2a34645bedfa4176aa2c5bcdcab6d22c,2026-08-31T02:51:01.941452+00:00,blockchain,valid_active,4,1,UAV-VALID,ACCEPTED,ACCEPTED,True,13451100,13.4511,29300,13196200,0,2200,165500,4100,0,0,,,,none,blockchain-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_9a90b846a7d545b6831b3beaf89fbafc,2026-08-31T02:51:01.960135+00:00,blockchain,valid_active,5,1,UAV-VALID,ACCEPTED,ACCEPTED,True,14264300,14.2643,31200,14025800,0,2100,153100,3900,0,0,,,,none,blockchain-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_c7a8385deea443f5b63f1a0083638314,2026-08-31T02:51:01.981935+00:00,blockchain,valid_active,6,1,UAV-VALID,ACCEPTED,ACCEPTED,True,15766300,15.7663,65200,15389100,0,4900,222100,9900,0,0,,,,none,blockchain-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_b390adf9414e48368b6eba9e540d37dd,2026-08-31T02:51:02.008174+00:00,blockchain,valid_active,7,1,UAV-VALID,ACCEPTED,ACCEPTED,True,18363900,18.3639,93800,17956900,0,3300,234400,9600,0,0,,,,none,blockchain-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_86832c4d8a4e4e0cb3b8cddfe8cb8122,2026-08-31T02:51:02.030628+00:00,blockchain,valid_active,8,1,UAV-VALID,ACCEPTED,ACCEPTED,True,15257800,15.2578,56500,15000200,0,2400,159900,3600,0,0,,,,none,blockchain-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_ef08dd218c97466f81dffcd75f0134f1,2026-08-31T02:51:02.050075+00:00,blockchain,valid_active,9,1,UAV-VALID,ACCEPTED,ACCEPTED,True,15080000,15.08,35300,14805200,0,2100,176000,5300,0,0,,,,none,blockchain-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_48cc6314203e40779423fec85f87f293,2026-08-31T02:51:02.068652+00:00,blockchain,valid_active,10,1,UAV-VALID,ACCEPTED,ACCEPTED,True,13592500,13.5925,55700,13329600,0,2700,156800,4300,0,0,,,,none,blockchain-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_19eed59cf2a047fdb83e673e3da701b9,2026-08-31T02:51:02.092720+00:00,blockchain,valid_active,11,1,UAV-VALID,ACCEPTED,ACCEPTED,True,17556200,17.5562,49600,17170600,0,3300,234700,9100,0,0,,,,none,blockchain-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,obs_861dbf49a4364eceaf0a337ca8aade32,2026-08-31T02:51:02.114464+00:00,blockchain,valid_active,12,1,UAV-VALID,ACCEPTED,ACCEPTED,True,14826400,14.8264,39000,14491700,0,2400,214600,4700,0,0,,,,none,blockchain-valid_active_0,0,False,238,8,
