run_id,mechanism,n_identities,concurrency,mean_cpu_percent,max_cpu_percent,mean_rss_mb,max_rss_mb
n10-identities_c1-conc_mech-blockchain-1backend_security-battery_r30_audit-off_20260831T021343Z,blockchain,10,1,1.31,95.0,202.07,204.22
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025101Z,blockchain,10,1,83.95,89.4,215.51,215.61
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-on_20260831T030130Z,blockchain,10,1,3.72,21.0,218.51,223.73
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260831T021332Z,x509,10,1,59.79,125.7,198.32,198.54
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025100Z,x509,10,1,0.0,0.0,208.62,208.62
n10-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025104Z,blockchain,10,5,54.1,108.2,206.95,208.07
n10-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025103Z,x509,10,5,0.0,0.0,210.1,210.1
n10-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025107Z,blockchain,10,10,0.0,0.0,208.63,208.63
n10-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025106Z,x509,10,10,111.1,111.1,210.73,210.73
n10-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025109Z,blockchain,10,25,54.8,109.6,220.7,221.66
n10-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025108Z,x509,10,25,113.7,113.7,213.99,213.99
n10-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025112Z,blockchain,10,50,64.7,129.4,228.0,228.77
n10-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025111Z,x509,10,50,109.4,109.4,219.38,219.38
n50-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T033155Z,blockchain,50,1,52.0,75.0,197.95,199.14
n50-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025114Z,x509,50,1,0.0,0.0,228.66,228.66
n50-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025842Z,blockchain,50,5,106.25,110.1,213.64,215.8
n50-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025841Z,x509,50,5,0.0,0.0,232.11,232.11
n50-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025846Z,blockchain,50,10,55.05,110.1,214.17,216.42
n50-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025844Z,x509,50,10,92.2,92.2,216.45,216.45
n50-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025849Z,blockchain,50,25,46.75,93.5,215.04,216.25
n50-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025848Z,x509,50,25,0.0,0.0,216.49,216.49
n50-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025853Z,blockchain,50,50,151.45,166.0,217.2,217.6
n50-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025851Z,x509,50,50,89.2,91.7,217.19,219.73
n100-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T025855Z,blockchain,100,1,90.4,109.7,219.96,220.0
n100-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025854Z,x509,100,1,0.0,0.0,214.58,214.58
n100-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T033213Z,blockchain,100,5,49.0,98.0,207.27,209.13
n100-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T025857Z,x509,100,5,77.6,77.6,225.21,225.21
n100-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030038Z,blockchain,100,10,65.25,130.5,213.66,214.18
n100-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030036Z,x509,100,10,74.3,74.3,209.82,209.82
n100-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030040Z,blockchain,100,25,54.35,108.7,216.91,217.69
n100-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030039Z,x509,100,25,0.0,0.0,218.93,218.93
n100-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030043Z,blockchain,100,50,52.8,105.6,220.5,220.89
n100-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030042Z,x509,100,50,118.3,118.3,214.2,214.2
n250-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030046Z,blockchain,250,1,34.75,69.5,216.56,216.62
n250-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030045Z,x509,250,1,118.4,118.4,221.04,221.04
n250-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030049Z,blockchain,250,5,0.0,0.0,222.27,222.27
n250-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030048Z,x509,250,5,0.0,0.0,221.91,221.91
n250-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030051Z,blockchain,250,10,14.11,84.7,222.83,226.69
n250-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260831T030050Z,x509,250,10,0.0,0.0,222.34,222.34
n250-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260831T030058Z,blockchain,250,25,105.75,107.8,217.14,218.51
