mechanism,n_identities,concurrency,run_id,n_observations,mean_request_bytes,mean_response_bytes,mean_contract_call_ms
blockchain,10,1,n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170059Z,30,238.9,8.0,0.0037
x509,10,1,n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170053Z,30,238.93,8.0,0.0
blockchain,10,5,n10-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170124Z,30,238.93,8.0,0.0041
x509,10,5,n10-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170123Z,30,238.97,8.0,0.0
blockchain,10,10,n10-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170127Z,30,239.3,8.0,0.0043
x509,10,10,n10-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170126Z,30,239.0,8.0,0.0
blockchain,10,25,n10-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170130Z,30,239.07,8.0,0.0046
x509,10,25,n10-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170129Z,30,239.13,8.0,0.0
blockchain,10,50,n10-identities_c50-conc_mech-blockchain-1backend_valid-active_r50_audit-off_20260903T170133Z,50,239.16,8.0,0.0051
x509,10,50,n10-identities_c50-conc_mech-x509-1backend_valid-active_r50_audit-off_20260903T170132Z,50,238.84,8.0,0.0
blockchain,50,1,n50-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170138Z,30,239.03,8.0,0.0035
x509,50,1,n50-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170136Z,30,239.03,8.0,0.0
blockchain,50,5,n50-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170300Z,30,238.93,8.0,0.0052
x509,50,5,n50-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170259Z,30,238.83,8.0,0.0
blockchain,50,10,n50-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170304Z,30,239.1,8.0,0.0041
x509,50,10,n50-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170302Z,30,238.9,8.0,0.0
blockchain,50,25,n50-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170307Z,30,238.87,8.0,0.0222
x509,50,25,n50-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170306Z,30,238.87,8.0,0.0
blockchain,50,50,n50-identities_c50-conc_mech-blockchain-1backend_valid-active_r50_audit-off_20260903T170311Z,50,238.96,8.0,0.0053
x509,50,50,n50-identities_c50-conc_mech-x509-1backend_valid-active_r50_audit-off_20260903T170309Z,50,239.0,8.0,0.0
blockchain,100,1,n100-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170316Z,30,238.93,8.0,0.0038
x509,100,1,n100-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170314Z,30,239.13,8.0,0.0
blockchain,100,5,n100-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170500Z,30,239.23,8.0,0.0038
x509,100,5,n100-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170459Z,30,239.03,8.0,0.0
blockchain,100,10,n100-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170503Z,30,239.13,8.0,0.0036
x509,100,10,n100-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170502Z,30,238.8,8.0,0.0
blockchain,100,25,n100-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170506Z,30,239.03,8.0,0.0054
x509,100,25,n100-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170505Z,30,239.23,8.0,0.0
blockchain,100,50,n100-identities_c50-conc_mech-blockchain-1backend_valid-active_r50_audit-off_20260903T170509Z,50,238.66,8.0,0.0045
x509,100,50,n100-identities_c50-conc_mech-x509-1backend_valid-active_r50_audit-off_20260903T170508Z,50,239.0,8.0,0.0
blockchain,250,1,n250-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170514Z,30,238.9,8.0,0.004
x509,250,1,n250-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170512Z,30,238.47,8.0,0.0
blockchain,250,5,n250-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T171018Z,30,239.07,8.0,0.0038
x509,250,5,n250-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T171017Z,30,238.9,8.0,0.0
blockchain,250,10,n250-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T171021Z,30,239.3,8.0,0.0032
x509,250,10,n250-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T171020Z,30,238.9,8.0,0.0
blockchain,250,25,n250-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T171024Z,30,238.9,8.0,0.0048
x509,250,25,n250-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T171023Z,30,238.83,8.0,0.0
blockchain,250,50,n250-identities_c50-conc_mech-blockchain-1backend_valid-active_r50_audit-off_20260903T171027Z,50,239.1,8.0,0.0034
x509,250,50,n250-identities_c50-conc_mech-x509-1backend_valid-active_r50_audit-off_20260903T171026Z,50,239.06,8.0,0.0
blockchain,500,1,n500-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T171032Z,30,239.13,8.0,0.0029
x509,500,1,n500-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T171030Z,30,239.2,8.0,0.0
blockchain,500,5,n500-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T171900Z,30,238.97,8.0,0.0042
x509,500,5,n500-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T171859Z,30,239.0,8.0,0.0
