run_id,mechanism,n_identities,concurrency,mean_cpu_percent,max_cpu_percent,mean_rss_mb,max_rss_mb
n10-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170059Z,blockchain,10,1,31.03,51.2,201.53,202.11
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170053Z,x509,10,1,167.2,167.2,196.34,196.34
n10-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170124Z,blockchain,10,5,60.2,120.4,210.18,214.85
n10-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170123Z,x509,10,5,108.4,108.4,208.11,208.11
n10-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170127Z,blockchain,10,10,57.6,115.2,213.28,214.21
n10-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170126Z,x509,10,10,0.0,0.0,212.11,212.11
n10-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170130Z,blockchain,10,25,56.25,112.5,219.25,222.77
n10-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170129Z,x509,10,25,0.0,0.0,216.8,216.8
n10-identities_c50-conc_mech-blockchain-1backend_valid-active_r50_audit-off_20260903T170133Z,blockchain,10,50,71.6,114.0,222.5,226.73
n10-identities_c50-conc_mech-x509-1backend_valid-active_r50_audit-off_20260903T170132Z,x509,10,50,87.5,87.5,220.02,220.02
n50-identities_c1-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170138Z,blockchain,50,1,86.7,94.5,215.55,215.59
n50-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170136Z,x509,50,1,0.0,0.0,220.76,220.76
n50-identities_c5-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170300Z,blockchain,50,5,80.25,91.2,219.0,219.25
n50-identities_c5-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170259Z,x509,50,5,68.5,68.5,221.05,221.05
n50-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170304Z,blockchain,50,10,66.8,133.6,226.83,230.26
n50-identities_c10-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170302Z,x509,50,10,62.4,62.4,224.73,224.73
n50-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260903T170307Z,blockchain,50,25,59.87,125.6,229.24,234.04
n50-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260903T170306Z,x509,50,25,89.1,89.1,228.08,228.08
n50-identities_c50-conc_mech-blockchain-1backend_valid-active_r50_audit-off_20260903T170311Z,blockchain,50,50,76.58,122.1,237.61,241.38
n50-identities_c50-conc_mech-x509-1backend_valid-active_r50_audit-off_20260903T170309Z,x509,50,50,0.0,0.0,231.25,231.25
